SEMAFORO,SITIO,ORGANISMO_DE_CUENCA,ESTADO,MUNICIPIO,ACUIFERO,SUBTIPO,LONGITUD,LATITUD,ALC_mg/L,CONDUCT_mS/cm,SDT_M_mg/L,FLUORUROS_mg/L,DUR_mg/L,COLI_FEC_NMP/100_mL,N_NO3_mg/L,AS_TOT_mg/L,CD_TOT_mg/L,CR_TOT_mg/L,HG_TOT_mg/L,PB_TOT_mg/L,MN_TOT_mg/L,FE_TOT_mg/L,CONTAMINANTES,CUMPLE_CON_ALC,CUMPLE_CON_COND,CUMPLE_CON_SDT_ra,CUMPLE_CON_SDT_salin,CUMPLE_CON_FLUO,CUMPLE_CON_DUR,CUMPLE_CON_CF,CUMPLE_CON_NO3,CUMPLE_CON_AS,CUMPLE_CON_CD,CUMPLE_CON_CR,CUMPLE_CON_HG,CUMPLE_CON_PB,CUMPLE_CON_MN,CUMPLE_CON_FE
1,POZO SAN GIL,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,ASIENTOS,VALLE DE CHICALOTE,POZO,-102.0221,22.20887,229.99,940,603.6,0.9766,213.732,1,4.184656,0.0161,0.0029,0.0049,0.00049,0.0049,0.0014,0.0891,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,POZO R013 CAÑADA HONDA,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,AGUASCALIENTES,VALLE DE CHICALOTE,POZO,-102.20075,21.99958,231.99,608,445.4,0.9298,185.0514,1,5.75011,0.0134,0.0029,0.0049,0.00049,0.0049,0.0014,0.024,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,POZO COSIO,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,COSIO,VALLE DE AGUASCALIENTES,POZO,-102.28801,22.36685,204.92,532,342,1.8045,120.719,1,1.449803,0.037,0.0029,0.0049,0.00049,0.0049,0.0014,0.024,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1
1,POZO EL SALITRILLO,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,RINCON DE ROMOS,VALLE DE AGUASCALIENTES,POZO,-102.29449,22.18435,327,686,478.6,1.1229,199.879,1,1.258597,0.0154,0.0029,0.005,0.00049,0.0049,0.0014,0.024,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,RANCHO EL TECOLOTE,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LA PAZ,TODOS SANTOS,POZO,-110.2448,23.45138,309.885,1841,1179,0.2343,476.9872,291,15.672251,0.009,0.0029,0.0049,0.00049,0.0049,0.0014,0.024,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
3,POZO A.P. CNA 7 (ANTES POZO A.P. CNA 6),PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LA PAZ,TODOS SANTOS,POZO,-110.22067,23.46493,224.475,570.3,554.8,0.2756,201.8784,6131,8.55574,0.009,0.0029,0.0049,0.00049,0.0049,0.0014,0.024,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
1,"POZO 26, SAN JUAN",PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LA PAZ,TODOS SANTOS,POZO,-110.21396,23.4746,203.67,531,278.8,0.289,166.2528,110,4.68647,0.009,0.0029,0.0049,0.00049,0.0049,0.0014,0.024,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,VICTOR HUGO CESEÑA,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LOS CABOS,CABO SAN LUCAS,POZO,-109.907306,22.8905,350.76,2253.3,1160.2,0.5607,269.1712,798,27.600998,0.009,0.0029,0.0049,0.00049,0.0049,0.0041,0.0692,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1
1,LAS PARRITAS,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LA PAZ,EL CARRIZAL,POZO,-110.088778,23.799861,343.655,1114,672,0.3421,403.8482,146,1.877325,0.009,0.0029,0.0049,0.00049,0.0049,0.0113,0.1615,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,SAN ANTONIO,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LA PAZ,LOS PLANES,POZO,-110.054722,23.824722,332.605,1703,1017.8,0.5088,559.0214,3873,0.143061,0.3558,0.0029,0.0049,0.00049,0.0049,1.167,14.06,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,0
1,AGUA AMARGA Y SAN PEDRO MEXICO,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LA PAZ,LOS PLANES,POZO,-109.907091,23.94632,136.53,1329,671.2,0.4925,222.8128,355,5.625327,0.009,0.0029,0.0053,0.00049,0.0049,0.0014,0.024,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,EL TRIUNFO,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LA PAZ,EL CARRIZAL,POZO,-110.108253,23.807347,247.52,1668,931.2,0.6351,198.94,1,0.165785,0.009,0.0029,0.0049,0.00049,0.0049,0.0808,0.1992,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,JUAN DOMINGUEZ COTA,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LA PAZ,LOS PLANES,POZO,-109.95892,23.97374,103.23,5167,3311,0.2636,744.0356,10,0.853692,0.02575,0.0029,0.0049,0.00051,0.0049,0.0023,0.081,1,1,0,0,0,1,0,1,1,0,1,1,1,1,1,1
3,TIRO SANTA CRUZ,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LA PAZ,LOS PLANES,POZO,-110.0611,23.80554,240.89,1369,811.6,0.4125,415.7846,857,0.211852,0.1128,0.0029,0.0049,0.00049,0.0049,0.0027,0.0321,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
3,EL ROSARIO II,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LA PAZ,EL CARRIZAL,POZO,-110.11185,23.74221,380.12,1536,999.8,0.3513,527.7972,4106,0.877601,0.009,0.0029,0.0049,0.00049,0.0399,0.0745,1.326,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0
1,"SP. A.P. 1, L. 9, COL. SIN.",PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,COMONDU,SANTO DOMINGO,POZO,-111.72009,25.13549,204.765,928,512.6667,0.4116,187.248,1,9.224505,0.009,0.0029,0.0049,0.00049,0.0049,0.0014,0.024,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,L. 16-17 COL. LAGUNA,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,COMONDU,SANTO DOMINGO,POZO,-111.8038,25.2401,244.185,1593,789.3333,0.6076,199.2,1,3.146125,0.009,0.0029,0.0104,0.00049,0.0049,0.0014,0.024,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,"L. 20, EJ. STO. DOMINGO",PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,COMONDU,SANTO DOMINGO,POZO,-111.92221,25.5047,251.97,12830,9503.6667,0.4142,3426.24,1,9.579012,0.009,0.0029,0.0049,0.00049,0.0049,0.0078,0.1215,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1
3,EL SARGENTO,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LA PAZ,LOS PLANES,POZO,-109.964667,23.96966,130.98,,277.8,0.5234,57.6926,265,0.742984,0.1244,0.0029,0.0071,0.00049,0.0049,0.0014,0.024,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1
1,"RANCHO AGUA DULCE, GVO. GLEZ.",PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LORETO,SAN JUAN B. LONDO,POZO,-111.4857,26.2279,249.66,1153,678,0.2563,241.4624,10,8.444545,0.009,0.0029,0.0049,0.00049,0.0049,0.0051,0.0564,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,POZO NO. 14,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LORETO,SAN JUAN B. LONDO,POZO,-111.50755,26.24466,221.19,3100,1471.2,0.8969,352.2976,521,5.677573,0.0485,0.0029,0.0067,0.00049,0.0049,0.022,0.7512,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0
2,POZO 2A,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LORETO,SAN JUAN B. LONDO,POZO,-111.54894,26.30176,205.86,2363,1158,0.3557,362.1936,1,6.520263,0.009,0.0029,0.0049,0.00049,0.0049,0.0025,0.0484,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
